,title,eps_count,publish_date,status,season,studio,Censorship,rate,director,eps_period,type,classification
245,Ochikobore Fruit Tart,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Fall 2020,feel.,الرقابة: Censored,التقييم 6.78,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Idols (Female)', 'Music', 'Slice of Life']"
246,Haigakura,نشر بواسطة: admin,unknown,الحالة: مكتمل,unknown,Typhoon Graphics,"تم الإصدار في: August 21, 2024",unknown,unknown,النوع: مسلسل,المخرج: Yamamoto Junichi,"['Fantasy', 'Josei']"
247,Chainsaw Man,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Fall 2022,MAPPA,الرقابة: Censored,التقييم 8.56,Nakayama Ryuu,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Gore', 'Shounen']"
248,Hajime no Ippo: New Challenger,الحلقات: 26,14-Oct-23,الحالة: مكتمل,Winter 2009,Madhouse,الرقابة: Censored,التقييم 8.66,Shishido Jun,المدة: 23 min. per ep.,النوع: مسلسل,"['Combat Sports', 'Shounen', 'Sports']"
249,Kyokou Suiri Season 2,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Winter 2023,Brain's Base,الرقابة: Censored,التقييم 7.35,unknown,المدة: 25 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Mystery', 'Mythology', 'Romance', 'Shounen', 'Supernatural']"
250,Ousama Game The Animation,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Fall 2017,Seven,الرقابة: Censored,التقييم 5.06,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Drama', 'Gore', 'High Stakes Game', 'Horror', 'Mystery', 'School', 'Supernatural', 'Survival']"
251,Lv1 Maou to One Room Yuusha,الحلقات: 12,23-Sep-23,الحالة: مكتمل,Summer 2023,Blade,الرقابة: Censored,التقييم 7.03,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Fantasy']"
252,Ookami to Koushinryou: Merchant Meets the Wise Wolf,"المخرج: Sanpei Hijiri, Takahashi Takeo",unknown,الحالة: مكتمل,unknown,Passione,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,"['Adult Cast', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
253,Guilty Gear Strive: Dual Rulers,المخرج: Kou Yuu,unknown,الحالة: يعرض الأن,unknown,SANZIGEN,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2025,الرقابة: Censored,['Action']
254,Hinamatsuri (TV),الحلقات: 12,27-Sep-23,الحالة: مكتمل,Spring 2018,feel.,الرقابة: Censored,التقييم 8.14,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Childcare', 'Comedy', 'Organized Crime', 'Seinen', 'Supernatural']"
255,Lupin Zero,الرقابة: Censored,12-Oct-23,الحالة: مكتمل,unknown,Telecom Animation Film,المخرج: Sakou Daisuke,التقييم 7.39,unknown,المدة: 26 min. per ep.,الحلقات: 6,"['Action', 'Comedy', 'Seinen']"
256,Hitsugi no Chaika: Avenging Battle,الحلقات: 10,19-Sep-23,الحالة: مكتمل,Fall 2014,Bones,الرقابة: Censored,التقييم 7.17,Masui Souichi,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy', 'Romance']"
257,Koutetsujou no Kabaneri,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2016,Wit Studio,الرقابة: Censored,التقييم 7.27,Araki Tetsurou,المدة: 22 min. per ep.,النوع: مسلسل,"['Action', 'Drama', 'Fantasy', 'Gore', 'Historical', 'Horror', 'Survival']"
258,Kimetsu no Yaiba: Katanakaji no Sato-hen,الحلقات: 11,21-Aug-24,الحالة: مكتمل,Spring 2023,ufotable,الرقابة: Censored,التقييم 8.32,unknown,المدة: 28 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Historical', 'Shounen']"
259,Kenka Dokugaku,المخرج: Hishida Masakazu,unknown,الحالة: مكتمل,unknown,Okuruto Noboru,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,['Action']
260,Kumichou Musume to Sewagakari,الحلقات: 12,25-Sep-23,الحالة: مكتمل,Summer 2022,feel.,الرقابة: Censored,التقييم 7.77,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Childcare', 'Organized Crime', 'Slice of Life']"
261,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,الحلقات: 14,12-Oct-23,الحالة: مكتمل,Fall 2019,Ajia-do,الرقابة: Censored,التقييم 7.99,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Fantasy', 'Isekai', 'Reincarnation']"
262,Fantasy Bishoujo Juniku Ojisan to,الحلقات: 12,27-Sep-23,الحالة: مكتمل,Winter 2022,OLM Team Yoshioka,الرقابة: Censored,التقييم 7.15,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Magical Sex Shift', 'Parody']"
263,High School DxD Hero,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2018,Passione,الرقابة: Censored,التقييم 7.25,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mythology', 'Romance', 'School']"
264,Radiant 2nd Season,الحلقات: 21,12-Oct-23,الحالة: مكتمل,Fall 2019,Lerche,الرقابة: Censored,التقييم 7.57,Kishi Seiji,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy']"
265,5-toubun no Hanayome ∬,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2021,Bibury Animation Studios,الرقابة: Censored,التقييم 8.07,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']"
266,Megumi no Daigo: Kyuukoku no Orange,المخرج: Murata Masahiko,unknown,الحالة: يعرض الأن,unknown,Brain's Base,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Action', 'Adult Cast', 'Drama', 'Shounen']"
267,Isekai Ojisan,الحلقات: 13,18-Sep-23,الحالة: مكتمل,Summer 2022,AtelierPontdarc,الرقابة: Censored,التقييم 7.83,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Comedy', 'Fantasy', 'Isekai', 'Otaku Culture', 'Parody']"
268,Gekkan Mousou Kagaku,المخرج: Miyawaki Chizuru,unknown,الحالة: مكتمل,unknown,OLM Team Yoshioka,نشر بواسطة: admin,unknown,unknown,الموسم: Winter 2024,الرقابة: Censored,"['Fantasy', 'Workplace']"
269,Absolute Duo,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2015,8bit,الرقابة: Censored,التقييم 6.43,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'School']"
270,"Jitsu wa Ore, Saikyou deshita?",الحلقات: 12,3-Oct-23,الحالة: مكتمل,Summer 2023,Staple Entertainment,الرقابة: Censored,التقييم 6.52,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adventure', 'Fantasy', 'Isekai', 'Reincarnation']"
271,Irozuku Sekai no Ashita kara,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Fall 2018,P.A. Works,الرقابة: Censored,التقييم 7.52,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Drama', 'Fantasy', 'Love Polygon', 'Romance', 'School', 'Time Travel', 'Visual Arts']"
272,Isekai Cheat Magician,الحلقات: 12,27-Sep-23,الحالة: مكتمل,Summer 2019,Encourage Films,الرقابة: Censored,التقييم 5.47,Tsukushi Daisuke,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy', 'Isekai']"
273,Princession Orchestra,المخرج: Oonuma Shin,unknown,الحالة: قادم,unknown,SILVER LINK.,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2025,الرقابة: Censored,"['Action', 'Fantasy', 'Music']"
274,Yuukoku no Moriarty,الحلقات: 11,19-Sep-23,الحالة: مكتمل,Fall 2020,Production I.G,الرقابة: Censored,التقييم 8.17,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Historical', 'Mystery', 'Organized Crime', 'Psychological', 'Shounen', 'Suspense']"
275,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Fall 2022,Studio A-CAT,الرقابة: Censored,التقييم 5.94,Nagahama Norihiko,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy']"
276,"One Piece Movie 09: Episode of Chopper Plus – Fuyu ni Saku, Kiseki no Sakura",الرقابة: Censored,22-Aug-24,الحالة: مكتمل,unknown,Toei Animation,المخرج: Shimizu Junji,التقييم 7.43,unknown,المدة: 1 hr. 53 min.,الحلقات: 1,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
277,Amagami-san Chi no Enmusubi,الرقابة: Censored,25-Mar-25,الحالة: يعرض الأن,unknown,Drive,المخرج: Abe Yuujirou,unknown,unknown,الموسم: Fall 2024,الحلقات: 24,"['Comedy', 'Harem', 'Romance', 'Shounen']"
278,Terra Formars: Revenge,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Spring 2016,LIDENFILMS,الرقابة: Censored,التقييم 6.65,Fukuda Michio,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Gore', 'Horror', 'Sci-Fi', 'Seinen', 'Space', 'Survival']"
279,Solo leveling – Ore dake Level Up na Ken,نشر بواسطة: admin,unknown,الحالة: مكتمل,unknown,A-1 Pictures,"تم الإصدار في: December 1, 2023",unknown,unknown,النوع: مسلسل,المخرج: Nakashige Shunsuke,"['Action', 'Adventure', 'Fantasy']"
280,Kobayashi-san Chi no Maid Dragon S,الحلقات: 12,25-Sep-23,الحالة: مكتمل,Summer 2021,Kyoto Animation,الرقابة: Censored,التقييم 8.29,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Fantasy', 'Slice of Life']"
281,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,المخرج: Minamikawa Tatsuma,unknown,الحالة: مكتمل,unknown,Project No.9,نشر بواسطة: admin,unknown,unknown,الموسم: Summer 2024,الرقابة: Censored,"['Action', 'Fantasy', 'Sci-Fi']"
282,Kyoukai no Kanata,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Fall 2013,Kyoto Animation,الرقابة: Censored,التقييم 7.73,Ishidate Taichi,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'School']"
283,Tensui no Sakuna-hime,المخرج: Yoshihara Masayuki,unknown,الحالة: مكتمل,unknown,P.A. Works,نشر بواسطة: admin,unknown,unknown,الموسم: Summer 2024,الرقابة: Censored,"['Action', 'Fantasy', 'Mythology']"
284,The Fable,المخرج: Takahashi Ryousuke,unknown,الحالة: مكتمل,unknown,Tezuka Productions,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,"['Adult Cast', 'Comedy', 'Organized Crime', 'Seinen']"
285,Kiznaiver,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Spring 2016,Trigger,الرقابة: Censored,التقييم 7.38,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Drama', 'Romance', 'Sci-Fi']"
286,Ao no Exorcist: Kyoto Fujouou-hen,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2017,A-1 Pictures,الرقابة: Censored,التقييم 7.35,Hatsumi Kouichi,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Mythology', 'School', 'Shounen']"
287,Made in Abyss,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Summer 2017,Kinema Citrus,الرقابة: Censored,التقييم 8.66,unknown,المدة: 25 min. per ep.,النوع: مسلسل,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi', 'Survival']"
288,Idoly Pride,الحلقات: 12,4-Dec-23,الحالة: مكتمل,Winter 2021,Lerche,الرقابة: Censored,التقييم 7.43,Kinome Yuu,المدة: 23 min. per ep.,النوع: مسلسل,"['Idols (Female)', 'Music']"
289,Yoru no Kurage wa Oyogenai,المخرج: Takeshita Ryouhei,unknown,الحالة: مكتمل,unknown,Doga Kobo,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,['unknown']
290,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,المخرج: Satou Hikaru,unknown,الحالة: مكتمل,unknown,Bibury Animation Studios,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Comedy', 'Harem', 'Parody', 'Romance', 'School', 'Seinen']"
291,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",الرقابة: Censored,24-Dec-23,الحالة: مكتمل,unknown,SILVER LINK.,المخرج: Ibe Yuushi,unknown,unknown,الموسم: Fall 2023,الحلقات: 12,"['Comedy', 'Fantasy', 'Time Travel']"
292,Shinigami Bocchan to Kuro Maid,الحلقات: 12,25-Sep-23,الحالة: مكتمل,Summer 2021,J.C.Staff,الرقابة: Censored,التقييم 7.61,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Romantic Subtext', 'Supernatural']"
293,One Piece Movie 01,الرقابة: Censored,22-Aug-24,الحالة: مكتمل,unknown,Toei Animation,المخرج: Shimizu Junji,التقييم 7.09,unknown,المدة: 50 min.,الحلقات: 1,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
294,Deatte 5-byou de Battle,الحلقات: 12,25-Sep-23,الحالة: مكتمل,Summer 2021,SynergySP,الرقابة: Censored,التقييم 6.76,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['High Stakes Game', 'Strategy Game', 'Super Power', 'Supernatural', 'Survival', 'Suspense']"
295,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,الحلقات: 10,19-Sep-23,الحالة: مكتمل,Spring 2022,Ajia-do,الرقابة: Censored,التقييم 8.08,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Fantasy', 'Isekai', 'Reincarnation']"
296,Oshi no Ko 2nd Season,المخرج: Hiramaki Daisuke,unknown,الحالة: مكتمل,unknown,Doga Kobo,نشر بواسطة: admin,unknown,unknown,الموسم: Summer 2024,الرقابة: Censored,"['Drama', 'Reincarnation', 'Seinen', 'Showbiz', 'Supernatural']"
297,Boku no Kokoro no Yabai Yatsu,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Spring 2023,Shin-Ei Animation,الرقابة: Censored,التقييم 8.26,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Romance', 'School', 'Shounen']"
298,Masamune-kun no Revenge R,الحلقات: 12,21-Sep-23,الحالة: مكتمل,Summer 2023,SILVER LINK.,الرقابة: Censored,التقييم 7.23,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']"
299,MF Ghost,المخرج: Tomohito Naka,unknown,الحالة: مكتمل,unknown,Felix Film,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Racing', 'Seinen']"
300,Aiyou de Mishi,الرقابة: Censored,unknown,الحالة: مكتمل,unknown,Lingsanwu Animation,نشر بواسطة: admin,التقييم 7.09,unknown,المدة: 17 min. per ep.,الحلقات: 16,"['Mystery', 'Suspense']"
301,Berserk: Ougon Jidai-hen – Memorial Edition,الحلقات: 13,18-Sep-23,الحالة: مكتمل,Fall 2022,Studio 4°C,الرقابة: Censored,التقييم 7.86,unknown,المدة: 25 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Gore', 'Horror', 'Military', 'Seinen']"
302,Scarlet Nexus,الحلقات: 26,14-Oct-23,الحالة: مكتمل,Summer 2021,Sunrise,الرقابة: Censored,التقييم 5.69,Nishimura Hiroyuki,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Military', 'Sci-Fi', 'Super Power']"
303,Shuumatsu Train Doko e Iku?,المخرج: Mizushima Tsutomu,unknown,الحالة: مكتمل,unknown,EMT Squared,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,['unknown']
304,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Summer 2022,Staple Entertainment,الرقابة: Censored,التقييم 6.81,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Ecchi', 'Fantasy', 'School', 'Shounen']"
305,One Piece: Episode of Sorajima,الرقابة: Censored,22-Aug-24,الحالة: مكتمل,unknown,Toei Animation,"المخرج: Endou Tetsuya, Uda Kounosuke",التقييم 7.18,unknown,المدة: 1 hr. 45 min.,الحلقات: 1,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
306,Kakkou no Iinazuke,الحلقات: 24,13-Oct-23,الحالة: مكتمل,Spring 2022,Shin-Ei Animation,الرقابة: Censored,التقييم 6.92,Akagi Hiroaki,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Harem', 'Romance', 'Shounen']"
307,Otonari ni Ginga,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Spring 2023,Asahi Production,الرقابة: Censored,التقييم 7.14,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Childcare', 'Otaku Culture', 'Romance', 'Seinen', 'Supernatural']"
308,Ani ni Tsukeru Kusuri wa Nai! 4,الحلقات: 12,4-Dec-23,الحالة: مكتمل,Fall 2020,Fanworks,الرقابة: Censored,التقييم 7.58,Rareko,المدة: 3 min. per ep.,النوع: مسلسل,"['Comedy', 'School']"
309,Log Horizon: Entaku Houkai,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2021,Studio Deen,الرقابة: Censored,التقييم 7.06,Ishihira Shinji,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adult Cast', 'Adventure', 'Fantasy', 'Video Game']"
310,Aldnoah.Zero Part 2,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Winter 2015,A-1 Pictures,الرقابة: Censored,التقييم 6.92,Aoki Ei,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Mecha', 'Sci-Fi', 'Space']"
311,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",نشر بواسطة: admin,unknown,الحالة: مكتمل,unknown,Brain's Base,"تم الإصدار في: March 13, 2024",unknown,unknown,النوع: مسلسل,المخرج: Ishiodori Hiroshi,"['Action', 'Fantasy', 'Romance']"
312,Kaizoku Oujo,الحلقات: 12,25-Sep-23,الحالة: مكتمل,Fall 2021,Production I.G,الرقابة: Censored,التقييم 7.08,Fuji Saki,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy', 'Historical']"
313,One Piece: Episode of Luffy – Hand Island no Bouken,الرقابة: Censored,unknown,الحالة: مكتمل,unknown,Toei Animation,نشر بواسطة: admin,التقييم 7.56,unknown,المدة: 1 hr. 42 min.,الحلقات: 1,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
314,Keijo!!!!!!!!,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Fall 2016,Xebec,الرقابة: Censored,التقييم 6.92,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Combat Sports', 'Ecchi', 'Shounen', 'Sports']"
315,Toaru Kagaku no Railgun T,الحلقات: 25,13-Oct-23,الحالة: مكتمل,Winter 2020,J.C.Staff,الرقابة: Censored,التقييم 8.17,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Sci-Fi', 'Super Power']"
316,Bungou Stray Dogs 5th Season,الحلقات: 11,16-Sep-23,الحالة: مكتمل,Summer 2023,Bones,الرقابة: Censored,التقييم 8.72,Igarashi Takuya,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adult Cast', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power', 'Supernatural']"
317,Hanamonogatari,الحلقات: 5,14-Oct-23,الحالة: مكتمل,Summer 2014,Shaft,الرقابة: Censored,التقييم 7.93,Itamura Tomoyuki,المدة: 25 min. per ep.,النوع: مسلسل,"['Comedy', 'Mystery', 'Supernatural']"
318,Hakozume: Kouban Joshi no Gyakushuu,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Winter 2022,Madhouse,الرقابة: Censored,التقييم 7.18,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Detective', 'Seinen', 'Slice of Life', 'Workplace']"
319,D4DJ First Mix,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Fall 2020,SANZIGEN,الرقابة: Censored,التقييم 7.64,Mizushima Seiji,المدة: 23 min. per ep.,النوع: مسلسل,"['Idols (Female)', 'Music', 'School']"
320,Platinum End,الحلقات: 24,12-Oct-23,الحالة: مكتمل,Fall 2021,Signal.MD,الرقابة: Censored,التقييم 6.05,Kise Kazuchika,المدة: 24 min. per ep.,النوع: مسلسل,"['Drama', 'Mythology', 'Psychological', 'Shounen', 'Supernatural', 'Survival', 'Suspense']"
321,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Summer 2019,J.C.Staff,الرقابة: Censored,التقييم 7.24,Tachibana Hideki,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy']"
322,Ansatsu Kyoushitsu 2nd Season,الحلقات: 25,13-Oct-23,الحالة: مكتمل,Winter 2016,Lerche,الرقابة: Censored,التقييم 8.49,Kishi Seiji,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'School', 'Shounen']"
323,Vinland Saga Season 2,الحلقات: 24,18-Sep-23,الحالة: مكتمل,Winter 2023,MAPPA,الرقابة: Censored,التقييم 8.82,unknown,المدة: 25 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']"
324,Nanatsu no Taizai: Mokushiroku no Yonkishi,المخرج: Kodaira Maki,unknown,الحالة: مكتمل,unknown,Telecom Animation Film,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
325,Golden Time,الحلقات: 24,12-Oct-23,الحالة: مكتمل,Fall 2013,J.C.Staff,الرقابة: Censored,التقييم 7.74,Kon Chiaki,المدة: 24 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Drama', 'Love Polygon', 'Romance']"
326,Domestic na Kanojo,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Winter 2019,Diomedéa,الرقابة: Censored,التقييم 6.67,unknown,المدة: 25 min. per ep.,النوع: مسلسل,"['Drama', 'Love Polygon', 'Romance', 'School', 'Shounen']"
327,Tales of Zestiria the Cross 2nd Season,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Winter 2017,ufotable,الرقابة: Censored,التقييم 7.30,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy']"
328,Darker than Black: Ryuusei no Gemini,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Fall 2009,Bones,الرقابة: Censored,التقييم 7.43,Okamura Tensai,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Mystery', 'Sci-Fi', 'Super Power']"
329,Sakamoto Days,المخرج: Watanabe Masaki,unknown,الحالة: مكتمل,unknown,TMS Entertainment,نشر بواسطة: admin,unknown,unknown,الموسم: Winter 2025,الرقابة: Censored,"['Action', 'Adult Cast', 'Comedy', 'Organized Crime', 'Shounen']"
330,Boku no Kokoro no Yabai Yatsu Season 2,الحلقات: 13,7-Jan-24,الحالة: مكتمل,Winter 2024,Shin-Ei Animation,الرقابة: Censored,التقييم 8.71,Akagi Hiroaki,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Romance', 'School', 'Shounen']"
331,Date A Live V,الرقابة: Censored,26-Jun-24,الحالة: مكتمل,unknown,Geek Toys,المخرج: Nakagawa Jun,unknown,unknown,الموسم: Spring 2024,الحلقات: 12,"['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']"
332,Usagi Drop,الحلقات: 11,19-Sep-23,الحالة: مكتمل,Summer 2011,Production I.G,الرقابة: Censored,التقييم 8.35,Kamei Kanta,المدة: 22 min. per ep.,النوع: مسلسل,"['Childcare', 'Iyashikei', 'Josei', 'Slice of Life']"
333,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",المخرج: Tamamura Jin,unknown,الحالة: مكتمل,unknown,Tsumugi Akita Animation Lab,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,"['Adventure', 'Fantasy', 'Reincarnation']"
334,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Summer 2020,White Fox,الرقابة: Censored,التقييم 8.34,Watanabe Masaharu,المدة: 27 min. per ep.,النوع: مسلسل,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']"
335,Hoshifuru Oukoku no Nina,المخرج: Komaya Kenichiro,unknown,الحالة: مكتمل,unknown,Signal.MD,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2024,الرقابة: Censored,"['Fantasy', 'Josei', 'Romance']"
336,Clannad,الحلقات: 23,12-Oct-23,الحالة: مكتمل,Fall 2007,Kyoto Animation,الرقابة: Censored,التقييم 8.00,Ishihara Tatsuya,المدة: 24 min. per ep.,النوع: مسلسل,"['Drama', 'Romance', 'School', 'Supernatural']"
337,Blood Lad,الحلقات: 10,19-Sep-23,الحالة: مكتمل,Summer 2013,Brain's Base,الرقابة: Censored,التقييم 7.25,Miya Shigeyuki,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'Delinquents', 'Fantasy', 'Mythology', 'Seinen', 'Vampire']"
338,Sirius,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Summer 2018,P.A. Works,الرقابة: Censored,التقييم 6.97,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Historical', 'Supernatural', 'Vampire']"
339,Monogatari Series: Off & Monster Season,نشر بواسطة: admin,unknown,الحالة: يعرض الأن,unknown,Shaft,"تم الإصدار في: July 13, 2024",التقييم 8.98,unknown,المدة: 31 min.,الرقابة: Censored,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']"
340,5-toubun no Hanayome,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Winter 2019,Tezuka Productions,الرقابة: Censored,التقييم 7.66,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']"
341,Grimm Kumikyoku,"المخرج: Akamatsu Yasuhiro, Kamakura Yumi, Takeuchi Masato",unknown,الحالة: مكتمل,unknown,Wit Studio,نشر بواسطة: admin,unknown,unknown,النوع: أونا,الرقابة: Censored,"['Fantasy', 'Horror', 'Suspense']"
342,Karakai Jouzu no Takagi-san 2,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Summer 2019,Shin-Ei Animation,الرقابة: Censored,التقييم 8.05,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Romantic Subtext', 'School', 'Shounen']"
343,One Piece Film: Strong World Episode 0,الرقابة: Censored,22-Aug-24,الحالة: مكتمل,unknown,Toei Animation,المخرج: Itou Naoyuki,التقييم 7.93,unknown,المدة: 18 min.,الحلقات: 1,"['Adventure', 'Fantasy', 'Shounen']"
